DATE,OPEN,CLOSE,HIGH,LOW,VWAP,NO OF TRADES
2023-02-06,1575.0,1572.7,1615.0,1435.2,1539.88,911312
2023-02-07,1571.0,1802.95,1962.7,1525.6,1764.46,809538
2023-02-08,1869.85,2164.25,2222.15,1840.85,2023.24,861666
2023-02-09,2168.0,1925.7,2168.0,1731.4,1972.72,829391
2023-02-10,1769.0,1846.95,1990.0,1733.15,1891.35,539738
2023-02-13,1850.0,1717.65,1921.7,1662.25,1753.0,617527
2023-02-14,1735.0,1749.7,1889.0,1611.35,1736.55,687240
2023-02-15,1780.0,1779.1,1824.4,1750.0,1788.18,385669
2023-02-16,1820.0,1796.6,1874.95,1790.0,1818.58,298112
2023-02-17,1800.0,1722.7,1815.85,1703.2,1747.8,282372
2023-02-20,1650.0,1621.45,1685.0,1560.5,1623.91,334008
2023-02-21,1626.0,1571.1,1644.45,1561.3,1598.62,281877
2023-02-22,1535.0,1404.85,1560.0,1381.2,1439.33,509088
2023-02-23,1380.0,1382.65,1438.0,1350.0,1394.0,427592
2023-02-24,1410.0,1315.65,1427.0,1261.6,1321.15,422968
2023-02-27,1300.0,1193.5,1313.8,1131.05,1222.37,487401
2023-02-28,1145.0,1363.85,1398.0,1103.75,1307.03,1047492
2023-03-01,1424.0,1564.3,1580.0,1411.0,1511.37,758963
2023-03-02,1499.9,1607.25,1646.0,1407.9,1564.51,924791
2023-03-03,1688.85,1879.5,1905.95,1685.5,1806.68,822488
2023-03-06,1966.7,1982.9,2135.0,1855.0,2021.04,1230939
2023-03-08,2040.0,2039.65,2088.0,1941.0,2029.34,625491
2023-03-09,2049.8,1953.15,2068.85,1905.35,1970.16,629218
2023-03-10,1870.0,1896.2,1940.0,1820.6,1889.62,465434
2023-03-13,1917.0,1874.4,1985.0,1857.4,1922.43,373128
2023-03-14,1874.0,1738.2,1874.85,1651.35,1742.93,551558
2023-03-15,1760.9,1839.0,1891.45,1728.1,1809.83,573832
2023-03-16,1861.0,1843.8,1875.0,1795.0,1838.73,311541
2023-03-17,1901.0,1876.55,1918.85,1845.0,1870.8,263971
