DATE,OPEN,CLOSE,HIGH,LOW,VWAP,NO OF TRADES
2023-02-20,532.0,525.15,533.95,522.15,526.99,207013
2023-02-21,527.1,523.45,528.95,522.4,525.46,201064
2023-02-22,520.75,516.35,521.9,512.5,516.6,279932
2023-02-23,516.95,521.0,524.0,511.35,518.82,209593
2023-02-24,524.2,521.05,527.5,517.6,522.25,174036
2023-02-27,521.1,527.7,529.8,519.0,525.49,175532
2023-02-28,527.25,522.8,528.45,521.05,523.97,138340
2023-03-01,523.25,536.7,537.4,523.1,532.39,247974
2023-03-02,535.95,533.75,539.9,532.5,535.45,150813
2023-03-03,542.0,561.2,564.3,541.75,557.8,301105
2023-03-06,564.9,561.7,567.9,559.0,563.48,199841
2023-03-08,560.0,564.8,565.5,556.45,561.23,163357
2023-03-09,564.75,558.9,565.75,558.0,561.63,129019
2023-03-10,553.1,547.35,554.95,545.0,548.4,223557
2023-03-13,547.0,530.0,553.15,528.45,537.53,211599
2023-03-14,527.65,525.4,532.8,520.0,524.87,262481
2023-03-15,529.8,517.55,532.0,515.55,524.47,252252
2023-03-16,518.4,524.5,529.35,514.3,521.02,290873
2023-03-17,528.65,529.8,531.6,520.1,526.55,185372
2023-03-20,526.6,519.2,526.6,515.0,518.98,251690
2023-03-21,522.0,521.85,523.45,516.45,520.33,295453
2023-03-22,522.2,521.55,527.0,520.1,523.63,155900
2023-03-23,519.4,512.75,521.0,511.5,517.21,261069
2023-03-24,514.5,505.35,514.95,503.45,510.24,194898
2023-03-27,507.0,510.15,514.15,501.55,509.28,224703
2023-03-28,511.45,508.1,511.75,503.85,507.96,199721
2023-03-29,509.0,516.5,518.0,506.3,512.21,216794
2023-03-31,520.65,523.75,524.9,519.35,522.06,210617
2023-04-03,524.75,526.75,528.5,522.1,525.94,137769
2023-04-05,527.0,523.0,527.6,519.05,522.57,174172
2023-04-06,524.0,527.65,533.7,521.65,528.66,232693
2023-04-10,529.25,526.3,530.4,524.4,527.28,138261
2023-04-11,530.85,532.1,535.7,527.15,533.07,176416
2023-04-12,533.2,528.2,534.0,526.0,529.65,170950
2023-04-13,529.3,532.95,534.25,527.15,530.4,168188
2023-04-17,528.0,544.0,545.0,528.0,539.11,229953
2023-04-18,545.35,545.85,548.5,540.5,545.32,218269
2023-04-19,544.0,540.3,547.5,538.25,543.32,142208
2023-04-20,541.2,544.8,545.45,536.65,541.56,146793
2023-04-21,545.0,543.15,546.4,539.7,542.35,188920
2023-04-24,543.8,554.6,555.55,543.5,550.47,210456
2023-04-25,555.0,561.8,567.9,555.0,562.34,250488
2023-04-26,562.0,566.35,567.0,556.45,562.67,195651
2023-04-27,565.0,564.75,567.4,561.1,564.04,213129
2023-04-28,567.8,578.3,580.45,565.5,572.14,172070
2023-05-02,580.0,575.3,580.85,573.15,577.47,272846
2023-05-03,570.65,570.5,575.0,569.0,572.27,151234
2023-05-04,570.2,580.0,580.8,568.5,576.93,155082
2023-05-05,580.2,576.5,588.25,575.05,582.81,182941
2023-05-08,577.65,583.6,587.6,577.35,582.04,159186
2023-05-09,585.0,573.5,586.45,572.1,576.83,247801
2023-05-10,575.0,572.2,575.0,563.25,568.87,223302
2023-05-11,572.2,573.45,580.0,572.0,574.59,183896
2023-05-12,574.7,578.15,580.75,571.55,576.81,148890
2023-05-15,578.75,581.9,584.0,574.65,581.35,176477
2023-05-16,584.0,586.3,590.4,582.0,586.03,233142
2023-05-17,586.0,586.3,590.5,579.5,584.82,251054
2023-05-18,590.3,574.2,593.9,571.4,583.0,403645
2023-05-19,579.0,575.15,586.25,569.9,576.07,351340
2023-05-22,577.5,577.15,580.3,573.45,577.12,205172
2023-05-23,578.9,581.6,583.7,576.8,580.66,154666
2023-05-24,579.8,582.7,585.25,578.25,583.06,158808
2023-05-25,582.0,581.25,582.9,577.0,580.06,151117
2023-05-26,581.25,586.0,587.75,580.55,585.13,117540
2023-05-29,590.0,595.0,596.4,588.05,593.5,323484
2023-05-30,595.0,592.8,595.5,591.5,593.57,156739
2023-05-31,583.8,579.85,584.8,577.5,581.09,209733
2023-06-01,581.8,582.75,586.4,581.0,584.03,170662
2023-06-02,584.7,587.2,588.9,583.0,586.45,157397
2023-06-05,588.5,587.2,589.8,586.0,587.86,143514
